accuracy,loss,val_accuracy,val_loss,learning_rate
0.4677579402923584,2.2826006412506104,0.6355820298194885,2.8031387329101562,9.999999747378752e-05
0.901289701461792,0.734693169593811,0.9583333134651184,1.052970290184021,9.999999747378752e-05
0.9667658805847168,0.3175952434539795,0.9960317611694336,0.16565699875354767,9.999999747378752e-05
0.9837962985038757,0.18321436643600464,0.9960317611694336,0.04586417227983475,9.999999747378752e-05
0.9912367463111877,0.11493602395057678,0.9980158805847168,0.022752612829208374,9.999999747378752e-05
0.9940476417541504,0.07855714112520218,0.9980158805847168,0.013700520619750023,9.999999747378752e-05
0.9961971044540405,0.05748453736305237,0.9980158805847168,0.008922884240746498,9.999999747378752e-05
0.997519850730896,0.04253557324409485,0.9986772537231445,0.006096809171140194,9.999999747378752e-05
0.9971891641616821,0.03327052667737007,0.9986772537231445,0.004837519954890013,9.999999747378752e-05
0.9980158805847168,0.02661503478884697,0.9980158805847168,0.004758947063237429,9.999999747378752e-05
0.9973545074462891,0.025069670751690865,0.9980158805847168,0.0037971946876496077,9.999999747378752e-05
0.9981812238693237,0.018518919125199318,0.9986772537231445,0.003247838234528899,9.999999747378752e-05
0.9983465671539307,0.01676495559513569,0.9986772537231445,0.0030177957378327847,9.999999747378752e-05
0.9983465671539307,0.014669463969767094,0.9980158805847168,0.0029448734130710363,9.999999747378752e-05
0.9981812238693237,0.013933121226727962,0.9986772537231445,0.0028135471511632204,4.999999873689376e-05
0.9988425970077515,0.012172450311481953,0.9980158805847168,0.0029829773120582104,4.999999873689376e-05
0.9985119104385376,0.011779646389186382,0.9986772537231445,0.0027009418699890375,4.999999873689376e-05
0.9981812238693237,0.01138871069997549,0.9986772537231445,0.002612268552184105,4.999999873689376e-05
0.9986772537231445,0.009735047817230225,0.9980158805847168,0.0027528121136128902,4.999999873689376e-05
0.9981812238693237,0.011829683557152748,0.9980158805847168,0.0029568905010819435,4.999999873689376e-05
